ticker,forecast_return,risk_score
A,0.0027472376823425293,0.33808284997940063
AAL,0.0027472376823425293,0.33808284997940063
AAP,0.0027472376823425293,0.33808284997940063
AAPL,0.0027472469955682755,0.33808284997940063
ABBV,0.0027472376823425293,0.33808284997940063
ABC,0.0027472376823425293,0.33808284997940063
ABNB,0.0027472376823425293,0.33808284997940063
ABT,0.0027472376823425293,0.33808284997940063
ACGL,0.0027472376823425293,0.33808284997940063
ACN,0.0027472469955682755,0.33808284997940063
ADBE,0.0027472469955682755,0.33808284997940063
ADI,0.0027472469955682755,0.33808284997940063
ADM,0.0027472376823425293,0.33808284997940063
ADP,0.0027472469955682755,0.33808284997940063
ADSK,0.0027472469955682755,0.33808284997940063
AEE,0.0027472376823425293,0.33808284997940063
AEP,0.0027472376823425293,0.33808284997940063
AES,0.0027472376823425293,0.33808284997940063
AFL,0.0027472376823425293,0.33808284997940063
AIG,0.0027472376823425293,0.33808284997940063
AIZ,0.0027472376823425293,0.33808284997940063
AJG,0.0027472376823425293,0.33808284997940063
AKAM,0.0027472469955682755,0.33808284997940063
ALB,0.0027472469955682755,0.33808284997940063
ALGN,0.0027472376823425293,0.33808284997940063
ALK,0.0027472376823425293,0.33808284997940063
ALL,0.0027472376823425293,0.33808284997940063
ALLE,0.0027472376823425293,0.33808284997940063
AMAT,0.0027472469955682755,0.33808284997940063
AMCR,0.0027472376823425293,0.33808284997940063
AMD,0.0027472469955682755,0.33808284997940063
AME,0.0027472376823425293,0.33808284997940063
AMGN,0.0027472376823425293,0.33808284997940063
AMP,0.0027472376823425293,0.33808284997940063
AMT,0.0027472376823425293,0.33808284997940063
AMZN,0.0027472376823425293,0.33808284997940063
ANET,0.0027472469955682755,0.33808284997940063
ANSS,0.0027472376823425293,0.33808284997940063
AON,0.0027472376823425293,0.33808284997940063
AOS,0.0027472376823425293,0.33808284997940063
APA,0.0027472469955682755,0.33808284997940063
APD,0.0027472469955682755,0.33808284997940063
APH,0.0027472469955682755,0.33808284997940063
APO,0.0027472376823425293,0.33808284997940063
APP,0.0027472376823425293,0.33808284997940063
APTV,0.0027472376823425293,0.33808284997940063
ARE,0.0027472376823425293,0.33808284997940063
ATO,0.0027472376823425293,0.33808284997940063
ATVI,0.0027472376823425293,0.33808284997940063
AVB,0.0027472376823425293,0.33808284997940063
AVGO,0.0027472469955682755,0.33808284997940063
AVY,0.0027472376823425293,0.33808284997940063
AWK,0.0027472376823425293,0.33808284997940063
AXON,0.0027472376823425293,0.33808284997940063
AXP,0.0027472376823425293,0.33808284997940063
AZO,0.0027472376823425293,0.33808284997940063
BA,0.0027472376823425293,0.33808284997940063
BAC,0.0027472376823425293,0.33808284997940063
BALL,0.0027472376823425293,0.33808284997940063
BAX,0.0027472376823425293,0.33808284997940063
BBWI,0.0027472376823425293,0.33808284997940063
BBY,0.0027472376823425293,0.33808284997940063
BDX,0.0027472376823425293,0.33808284997940063
BEN,0.0027472376823425293,0.33808284997940063
BF-B,0.0027472376823425293,0.33808284997940063
BF.B,0.0027472376823425293,0.33808284997940063
BG,0.0027472376823425293,0.33808284997940063
BIIB,0.0027472376823425293,0.33808284997940063
BIO,0.0027472376823425293,0.33808284997940063
BK,0.0027472376823425293,0.33808284997940063
BKNG,0.0027472376823425293,0.33808284997940063
BKR,0.0027472469955682755,0.33808284997940063
BLDR,0.0027472376823425293,0.33808284997940063
BLK,0.0027472376823425293,0.33808284997940063
BMY,0.0027472376823425293,0.33808284997940063
BR,0.0027472469955682755,0.33808284997940063
BRK,0.0027472376823425293,0.33808284997940063
BRK-B,0.0027472376823425293,0.33808284997940063
BRK.B,0.0027472376823425293,0.33808284997940063
BRO,0.0027472376823425293,0.33808284997940063
BSX,0.0027472376823425293,0.33808284997940063
BWA,0.0027472376823425293,0.33808284997940063
BX,0.0027472376823425293,0.33808284997940063
BXP,0.0027472376823425293,0.33808284997940063
C,0.0027472376823425293,0.33808284997940063
C:AUDUSD,0.0027472376823425293,0.33808284997940063
C:EURUSD,0.0027472376823425293,0.33808284997940063
C:GBPUSD,0.0027472376823425293,0.33808284997940063
C:NZDUSD,0.0027472376823425293,0.33808284997940063
C:USDCAD,0.0027472376823425293,0.33808284997940063
C:USDCHF,0.0027472376823425293,0.33808284997940063
C:USDJPY,0.0027472376823425293,0.33808284997940063
CAG,0.0027472376823425293,0.33808284997940063
CAH,0.0027472376823425293,0.33808284997940063
CARR,0.0027472376823425293,0.33808284997940063
CAT,0.0027472376823425293,0.33808284997940063
CB,0.0027472376823425293,0.33808284997940063
CBOE,0.0027472376823425293,0.33808284997940063
CBRE,0.0027472376823425293,0.33808284997940063
CCI,0.0027472376823425293,0.33808284997940063
CCL,0.0027472376823425293,0.33808284997940063
CDAY,0.0027472376823425293,0.33808284997940063
CDNS,0.0027472469955682755,0.33808284997940063
CDW,0.0027472469955682755,0.33808284997940063
CE,0.0027472469955682755,0.33808284997940063
CEG,0.0027472376823425293,0.33808284997940063
CF,0.0027472469955682755,0.33808284997940063
CFG,0.0027472376823425293,0.33808284997940063
CHD,0.0027472376823425293,0.33808284997940063
CHRW,0.0027472376823425293,0.33808284997940063
CHTR,0.0027472376823425293,0.33808284997940063
CI,0.0027472376823425293,0.33808284997940063
CINF,0.0027472376823425293,0.33808284997940063
CL,0.0027472376823425293,0.33808284997940063
CL=F,0.0029914602637290955,0.3719990849494934
CLX,0.0027472376823425293,0.33808284997940063
CMA,0.0027472376823425293,0.33808284997940063
CMCSA,0.0027472376823425293,0.33808284997940063
CME,0.0027472376823425293,0.33808284997940063
CMG,0.0027472376823425293,0.33808284997940063
CMI,0.0027472376823425293,0.33808284997940063
CMS,0.0027472376823425293,0.33808284997940063
CNC,0.0027472376823425293,0.33808284997940063
CNP,0.0027472376823425293,0.33808284997940063
COF,0.0027472376823425293,0.33808284997940063
COIN,0.0027472376823425293,0.33808284997940063
COO,0.0027472376823425293,0.33808284997940063
COP,0.0027472469955682755,0.33808284997940063
COR,0.0027472376823425293,0.33808284997940063
COST,0.0027472376823425293,0.33808284997940063
CPAY,0.0027472469955682755,0.33808284997940063
CPB,0.0027472376823425293,0.33808284997940063
CPRT,0.0027472376823425293,0.33808284997940063
CPT,0.0027472376823425293,0.33808284997940063
CRL,0.0027472376823425293,0.33808284997940063
CRM,0.0027472469955682755,0.33808284997940063
CRWD,0.0027472469955682755,0.33808284997940063
CSCO,0.0027472469955682755,0.33808284997940063
CSGP,0.0027472376823425293,0.33808284997940063
CSX,0.0027472376823425293,0.33808284997940063
CTAS,0.0027472376823425293,0.33808284997940063
CTLT,0.0027472376823425293,0.33808284997940063
CTRA,0.0027472469955682755,0.33808284997940063
CTSH,0.0027472469955682755,0.33808284997940063
CTVA,0.0027472469955682755,0.33808284997940063
CVS,0.0027472376823425293,0.33808284997940063
CVX,0.0027472469955682755,0.33808284997940063
CZR,0.0027472376823425293,0.33808284997940063
D,0.0027472376823425293,0.33808284997940063
DAL,0.0027472376823425293,0.33808284997940063
DASH,0.0027472376823425293,0.33808284997940063
DAY,0.0027472469955682755,0.33808284997940063
DD,0.0027472469955682755,0.33808284997940063
DDOG,0.0027472469955682755,0.33808284997940063
DE,0.0027472376823425293,0.33808284997940063
DECK,0.0027472376823425293,0.33808284997940063
DELL,0.0027472469955682755,0.33808284997940063
DFS,0.0027472376823425293,0.33808284997940063
DG,0.0027472376823425293,0.33808284997940063
DGX,0.0027472376823425293,0.33808284997940063
DHI,0.0027472376823425293,0.33808284997940063
DHR,0.0027472376823425293,0.33808284997940063
DIS,0.0027472376823425293,0.33808284997940063
DLR,0.0027472376823425293,0.33808284997940063
DLTR,0.0027472376823425293,0.33808284997940063
DOC,0.0027472376823425293,0.33808284997940063
DOV,0.0027472376823425293,0.33808284997940063
DOW,0.0027472469955682755,0.33808284997940063
DPZ,0.0027472376823425293,0.33808284997940063
DRI,0.0027472376823425293,0.33808284997940063
DTE,0.0027472376823425293,0.33808284997940063
DUK,0.0027472376823425293,0.33808284997940063
DVA,0.0027472376823425293,0.33808284997940063
DVN,0.0027472469955682755,0.33808284997940063
DX-Y.NYB,0.0029914602637290955,0.3719990849494934
DXC,0.0027472469955682755,0.33808284997940063
DXCM,0.0027472376823425293,0.33808284997940063
EA,0.0027472376823425293,0.33808284997940063
EBAY,0.0027472376823425293,0.33808284997940063
ECL,0.0027472469955682755,0.33808284997940063
ED,0.0027472376823425293,0.33808284997940063
EFX,0.0027472376823425293,0.33808284997940063
